s_m,x_m,y_m
1.667434590,2.941301426,0.476589646
1.689374519,2.963388314,0.474232004
1.711314448,2.985471954,0.471875730
1.733254377,3.007552479,0.469522233
1.755194305,3.029630046,0.467173155
1.777134234,3.051704814,0.464830171
1.799074163,3.073776945,0.462494952
1.821014092,3.095846605,0.460169171
1.842954021,3.117913959,0.457854494
1.864893949,3.139979170,0.455552532
1.886833878,3.162042399,0.453264856
1.908773807,3.184103810,0.450993036
1.930713736,3.206163014,0.448738694
1.952653665,3.228216863,0.446503768
1.974593594,3.250264983,0.444289916
1.996533522,3.272307525,0.442098413
2.018473451,3.294344632,0.439930475
2.040413380,3.316376447,0.437787317
2.062353309,3.338403114,0.435670153
2.084293238,3.360424771,0.433580174
2.106233166,3.382441517,0.431518142
2.128173095,3.404453417,0.429484450
2.150113024,3.426460533,0.427479476
2.172052953,3.448462924,0.425503601
2.193992882,3.470460646,0.423557204
2.215932811,3.492451938,0.421640677
2.237872739,3.514434980,0.419753810
2.259812668,3.536409741,0.417896083
2.281752597,3.558376183,0.416066971
2.303692526,3.580334264,0.414265953
2.325632455,3.602283940,0.412492491
2.347572383,3.624225117,0.410745586
2.369512312,3.646157651,0.409023703
2.391452241,3.668081392,0.407325279
2.413392170,3.689996184,0.405648752
2.435332099,3.711901870,0.403992556
2.457272028,3.733798283,0.402355036
2.479211956,3.755685254,0.400734013
2.501151885,3.777562846,0.399127102
2.523091814,3.799430870,0.397531929
2.545031743,3.821289089,0.395946127
2.566971672,3.843137261,0.394367326
2.588911600,3.864975140,0.392793056
2.610851529,3.886802463,0.391220693
2.632791458,3.908618967,0.389647599
2.654731387,3.930424393,0.388071135
2.676671316,3.952218482,0.386488662
2.698611245,3.974000981,0.384897570
2.720551173,3.995771663,0.383295503
2.742491102,4.017530317,0.381680223
2.764431031,4.039275575,0.380049611
2.786370960,4.061006079,0.378401598
2.808310889,4.082721628,0.376734026
2.830250817,4.104422058,0.375045038
2.852190746,4.126107265,0.373333407
2.874130675,4.147777158,0.371597982
2.896070604,4.169431653,0.369837615
2.918010533,4.191070671,0.368051153
2.939950462,4.212694146,0.366237511
2.961890390,4.234302084,0.364396366
2.983830319,4.255894543,0.362527894
3.005770248,4.277471583,0.360632273
3.027710177,4.299032159,0.358709787
3.049650106,4.320569672,0.356761338
3.071590034,4.342083128,0.354787773
3.093529963,4.363572725,0.352790663
3.115469892,4.385038680,0.350771723
3.137409821,4.406481212,0.348732663
3.159349750,4.427900549,0.346675193
3.181289679,4.449296921,0.344601041
3.203229607,4.470670597,0.342512333
3.225169536,4.492021876,0.340411537
3.247109465,4.513351059,0.338301131
3.269049394,4.534658446,0.336183592
3.290989323,4.555944338,0.334061392
3.312929251,4.577210066,0.331936935
3.334869180,4.598456937,0.329812662
3.356809109,4.619685220,0.327691105
3.378749038,4.640895177,0.325574795
3.400688967,4.662087067,0.323466260
3.422628896,4.683261145,0.321368022
3.444568824,4.704417644,0.319282409
3.466508753,4.725556780,0.317211522
3.488448682,4.746678760,0.315157450
3.510388611,4.767783790,0.313122282
3.532328540,4.788872067,0.311108102
3.554268468,4.809943780,0.309116918
3.576208397,4.831001196,0.307150150
3.598148326,4.852057087,0.305208135
3.620088255,4.873113601,0.303291633
3.642028184,4.894170761,0.301401527
3.663968113,4.915228590,0.299538696
3.685908041,4.936287093,0.297703838
3.707847970,4.957346257,0.295897366
3.729787899,4.978406068,0.294119668
3.751727828,4.999466507,0.292371134
3.773667757,5.020527557,0.290652153
3.795607685,5.041589197,0.288963110
3.817547614,5.062651405,0.287304369
3.839487543,5.083714154,0.285676285
3.861427472,5.104791446,0.284078397
3.883367401,5.125897210,0.282509651
3.905307330,5.147031313,0.280969504
3.927247258,5.168193622,0.279457534
3.949187187,5.189384018,0.277973575
3.971127116,5.210602377,0.276517488
3.993067045,5.231848573,0.275089133
4.015006974,5.253122480,0.273688366
4.036946902,5.274423969,0.272315067
4.058886831,5.295752921,0.270969442
4.080826760,5.317109225,0.269651907
4.102766689,5.338492764,0.268362877
4.124706618,5.359905032,0.267102700
4.146646547,5.381355573,0.265871242
4.168586475,5.402845871,0.264668496
4.190526404,5.424375807,0.263494711
4.212466333,5.445945265,0.262350165
4.234406262,5.467554129,0.261235130
